"","region","year","Rural_pop"
"107","Middle East",1990,54136304
"108","Middle East",2005,64961567
"109","Middle East",2010,69296982
"110","Middle East",2015,72069930
"111","Pakistan",1975,50181666
"112","Pakistan",1990,80125063
"113","Pakistan",2005,115116972
"114","Pakistan",2010,126401257
"115","Pakistan",2015,134965499
"116","Russia",1975,45054966
"117","Russia",1990,39368740
"118","Russia",2005,38085588
"119","Russia",2010,37587981
"120","Russia",2015,37393138
"121","South Africa",1975,13376443
"122","South Africa",1990,19126479
"123","South Africa",2005,19834298
"124","South Africa",2010,19565379
"125","South Africa",2015,19652884
"126","South America_Northern",1975,3894056
"127","South America_Northern",1990,3771649
"128","South America_Northern",2005,3932859
"129","South America_Northern",2010,4154486
"130","South America_Northern",2015,4367282
"131","South America_Southern",1975,17489054
"132","South America_Southern",1990,19379525
"133","South America_Southern",2005,20339498
"134","South America_Southern",2010,20649288
"135","South America_Southern",2015,21239593
"136","South Asia",1975,102813509
"137","South Asia",1990,126978462
"138","South Asia",2005,160936624
"139","South Asia",2010,164552354
"140","South Asia",2015,169415244
"141","South Korea",1975,18334334
"142","South Korea",1990,11212890
"143","South Korea",2005,8988830
"144","South Korea",2010,8951455
"145","South Korea",2015,9369405
"146","Southeast Asia",1975,147482106
"147","Southeast Asia",1990,188981412
"148","Southeast Asia",2005,224316834
"149","Southeast Asia",2010,229211363
"150","Southeast Asia",2015,233839700
"151","USA",1975,58040462
"152","USA",1990,61919325
"153","USA",2005,59547966
"154","USA",2010,59713085
"155","USA",2015,59014712
"156","Taiwan",1975,9137641.94728666
"157","Taiwan",1990,9137641.94728666
"158","Taiwan",2005,9137641.94728666
"159","Taiwan",2010,9137641.94728666
"160","Taiwan",2015,9137641.94728666
"161","Africa_Eastern",2020,251059587
"162","Africa_Eastern",2025,260335768.829885
"163","Africa_Eastern",2030,266016672.074498
"164","Africa_Eastern",2035,270577231.305412
"165","Africa_Eastern",2040,271379587.15984
"166","Africa_Eastern",2045,271468139.308596
"167","Africa_Eastern",2050,268033504.239881
"168","Africa_Eastern",2055,264497899.747954
"169","Africa_Eastern",2060,258073865.996379
"170","Africa_Eastern",2065,252202273.335308
"171","Africa_Eastern",2070,244168644.981517
"172","Africa_Eastern",2075,237077979.993904
"173","Africa_Eastern",2080,228269142.811242
"174","Africa_Eastern",2085,220454712.309634
"175","Africa_Eastern",2090,211351797.827521
"176","Africa_Eastern",2095,203324827.269519
"177","Africa_Eastern",2100,194440289.834791
"178","Africa_Northern",2020,91267302
"179","Africa_Northern",2025,89964414.9928105
"180","Africa_Northern",2030,87485967.8047121
"181","Africa_Northern",2035,84921881.695205
"182","Africa_Northern",2040,81590182.4073577
"183","Africa_Northern",2045,78449353.5180026
"184","Africa_Northern",2050,74609383.931275
"185","Africa_Northern",2055,71053862.4464875
"186","Africa_Northern",2060,67009704.7846134
"187","Africa_Northern",2065,63391191.8644662
"188","Africa_Northern",2070,59468426.7767125
"189","Africa_Northern",2075,56016221.390517
"190","Africa_Northern",2080,52446149.7112253
"191","Africa_Northern",2085,49379614.201679
"192","Africa_Northern",2090,46292783.7366209
"193","Africa_Northern",2095,43639873.3981394
"194","Africa_Northern",2100,40986978.5545469
"195","Africa_Southern",2020,112205718
"196","Africa_Southern",2025,116510953.446584
"197","Africa_Southern",2030,119350377.62435
"198","Africa_Southern",2035,121807683.060174
"199","Africa_Southern",2040,122736934.607016
"200","Africa_Southern",2045,123321001.685979
"201","Africa_Southern",2050,122360345.928925
"202","Africa_Southern",2055,121274375.864767
"203","Africa_Southern",2060,118828491.716881
"204","Africa_Southern",2065,116653215.62254
"205","Africa_Southern",2070,113464140.862237
"206","Africa_Southern",2075,110630430.127248
"207","Africa_Southern",2080,107024338.075494
"208","Africa_Southern",2085,103906548.2247
"209","Africa_Southern",2090,100123553.335038
"210","Africa_Southern",2095,96764642.3881566
"211","Africa_Southern",2100,92926426.7814054
"212","Africa_Western",2020,293614017
"213","Africa_Western",2025,306332092.771225
"214","Africa_Western",2030,315611586.462881
"215","Africa_Western",2035,324288497.993639
"216","Africa_Western",2040,328953161.571396
"217","Africa_Western",2045,333100573.261265
"218","Africa_Western",2050,333273222.614026
"219","Africa_Western",2055,332568069.908265
"220","Africa_Western",2060,327760342.822876
